Time;Height;Velocity;ThrustPct;Acceleration;FuelMass;EngineState
0.0;3000.0;0.0;0.0;0.0;10500.0;Off
0.1;3000.0;-0.2;0.0;0.0;10500.0;Off
0.2;3000.0;-0.3;0.0;0.0;10500.0;Off
0.3;2999.9;-0.5;0.0;0.0;10500.0;Off
0.4;2999.8;-0.7;0.0;0.0;10500.0;Off
0.5;2999.8;-0.8;0.0;0.0;10500.0;Off
0.6;2999.7;-1.0;0.0;0.0;10500.0;Off
0.7;2999.5;-1.1;0.0;0.0;10500.0;Off
0.8;2999.4;-1.3;0.0;0.0;10500.0;Off
0.9;2999.3;-1.5;0.0;0.0;10500.0;Off
1.0;2999.1;-1.6;0.0;0.0;10500.0;Off
1.1;2998.9;-1.8;0.0;0.0;10500.0;Off
1.2;2998.7;-2.0;0.0;0.0;10500.0;Off
1.3;2998.5;-2.1;0.0;0.0;10500.0;Off
1.4;2998.3;-2.3;0.0;0.0;10500.0;Off
1.5;2998.1;-2.4;0.0;0.0;10500.0;Off
1.6;2997.8;-2.6;0.0;0.0;10500.0;Off
1.7;2997.5;-2.8;0.0;0.0;10500.0;Off
1.8;2997.2;-2.9;0.0;0.0;10500.0;Off
1.9;2996.9;-3.1;0.0;0.0;10500.0;Off
2.0;2996.6;-3.3;0.0;0.0;10500.0;Off
2.1;2996.2;-3.4;0.0;0.0;10500.0;Off
2.2;2995.9;-3.6;0.0;0.0;10500.0;Off
2.3;2995.5;-3.7;0.0;0.0;10500.0;Off
2.4;2995.1;-3.9;0.0;0.0;10500.0;Off
2.5;2994.7;-4.1;0.0;0.0;10500.0;Off
2.6;2994.3;-4.2;0.0;0.0;10500.0;Off
2.7;2993.9;-4.4;0.0;0.0;10500.0;Off
2.8;2993.4;-4.6;0.0;0.0;10500.0;Off
2.9;2992.9;-4.7;0.0;0.0;10500.0;Off
3.0;2992.4;-4.9;0.0;0.0;10500.0;Off
3.1;2991.9;-5.0;0.0;0.0;10500.0;Off
3.2;2991.4;-5.2;0.0;0.0;10500.0;Off
3.3;2990.9;-5.4;0.0;0.0;10500.0;Off
3.4;2990.3;-5.5;0.0;0.0;10500.0;Off
3.5;2989.8;-5.7;0.0;0.0;10500.0;Off
3.6;2989.2;-5.9;0.0;0.0;10500.0;Off
3.7;2988.6;-6.0;0.0;0.0;10500.0;Off
3.8;2988.0;-6.2;0.0;0.0;10500.0;Off
3.9;2987.3;-6.3;0.0;0.0;10500.0;Off
4.0;2986.7;-6.5;0.0;0.0;10500.0;Off
4.1;2986.0;-6.7;0.0;0.0;10500.0;Off
4.2;2985.3;-6.8;0.0;0.0;10500.0;Off
4.3;2984.6;-7.0;0.0;0.0;10500.0;Off
4.4;2983.9;-7.1;0.0;0.0;10500.0;Off
4.5;2983.2;-7.3;0.0;0.0;10500.0;Off
4.6;2982.4;-7.5;0.0;0.0;10500.0;Off
4.7;2981.7;-7.6;0.0;0.0;10500.0;Off
4.8;2980.9;-7.8;0.0;0.0;10500.0;Off
4.9;2980.1;-8.0;0.0;0.0;10500.0;Off
5.0;2979.3;-8.1;0.0;0.0;10500.0;Off
5.1;2978.5;-8.3;0.0;0.0;10500.0;Off
5.2;2977.6;-8.4;0.0;0.0;10500.0;Off
5.3;2976.7;-8.6;0.0;0.0;10500.0;Off
5.4;2975.9;-8.8;0.0;0.0;10500.0;Off
5.5;2975.0;-8.9;0.0;0.0;10500.0;Off
5.6;2974.1;-9.1;0.0;0.0;10500.0;Off
5.7;2973.1;-9.3;0.0;0.0;10500.0;Off
5.8;2972.2;-9.4;0.0;0.0;10500.0;Off
5.9;2971.2;-9.6;0.0;0.0;10500.0;Off
6.0;2970.3;-9.7;0.0;0.0;10500.0;Off
6.1;2969.3;-9.9;0.0;0.0;10500.0;Off
6.2;2968.3;-10.1;0.0;0.0;10500.0;Off
6.3;2967.2;-10.2;0.0;0.0;10500.0;Off
6.4;2966.2;-10.4;0.0;0.0;10500.0;Off
6.5;2965.1;-10.6;0.0;0.0;10500.0;Off
6.6;2964.1;-10.7;0.0;0.0;10500.0;Off
6.7;2963.0;-10.9;0.0;0.0;10500.0;Off
6.8;2961.9;-11.1;0.0;0.0;10500.0;Off
6.9;2960.8;-11.2;0.0;0.0;10500.0;Off
7.0;2959.6;-11.4;0.0;0.0;10500.0;Off
7.1;2958.5;-11.5;0.0;0.0;10500.0;Off
7.2;2957.3;-11.7;0.0;0.0;10500.0;Off
7.3;2956.1;-11.9;0.0;0.0;10500.0;Off
7.4;2954.9;-12.0;0.0;0.0;10500.0;Off
7.5;2953.7;-12.2;0.0;0.0;10500.0;Off
7.6;2952.5;-12.4;0.0;0.0;10500.0;Off
7.7;2951.2;-12.5;0.0;0.0;10500.0;Off
7.8;2949.9;-12.7;0.0;0.0;10500.0;Off
7.9;2948.7;-12.8;0.0;0.0;10500.0;Off
8.0;2947.4;-13.0;0.0;0.0;10500.0;Off
8.1;2946.0;-13.2;0.0;0.0;10500.0;Off
8.2;2944.7;-13.3;0.0;0.0;10500.0;Off
8.3;2943.4;-13.5;0.0;0.0;10500.0;Off
8.4;2942.0;-13.7;0.0;0.0;10500.0;Off
8.5;2940.6;-13.8;0.0;0.0;10500.0;Off
8.6;2939.2;-14.0;0.0;0.0;10500.0;Off
8.7;2937.8;-14.1;0.0;0.0;10500.0;Off
8.8;2936.4;-14.3;0.0;0.0;10500.0;Off
8.9;2934.9;-14.5;0.0;0.0;10500.0;Off
9.0;2933.5;-14.6;0.0;0.0;10500.0;Off
9.1;2932.0;-14.8;0.0;0.0;10500.0;Off
9.2;2930.5;-15.0;0.0;0.0;10500.0;Off
9.3;2929.0;-15.1;0.0;0.0;10500.0;Off
9.4;2927.4;-15.3;0.0;0.0;10500.0;Off
9.5;2925.9;-15.4;0.0;0.0;10500.0;Off
9.6;2924.3;-15.6;0.0;0.0;10500.0;Off
9.7;2922.8;-15.8;0.0;0.0;10500.0;Off
9.8;2921.2;-15.9;0.0;0.0;10500.0;Off
9.9;2919.6;-16.1;0.0;0.0;10500.0;Off
10.0;2917.9;-16.3;0.0;0.0;10500.0;Off
10.1;2916.3;-16.4;0.0;0.0;10500.0;Off
10.2;2914.6;-16.6;0.0;0.0;10500.0;Off
10.3;2913.0;-16.7;0.0;0.0;10500.0;Off
10.4;2911.3;-16.9;0.0;0.0;10500.0;Off
10.5;2909.6;-17.1;0.0;0.0;10500.0;Off
10.6;2907.8;-17.2;0.0;0.0;10500.0;Off
10.7;2906.1;-17.4;0.0;0.0;10500.0;Off
10.8;2904.4;-17.6;0.0;0.0;10500.0;Off
10.9;2902.6;-17.7;0.0;0.0;10500.0;Off
11.0;2900.8;-17.9;0.0;0.0;10500.0;Off
11.1;2899.0;-18.0;0.0;0.0;10500.0;Off
11.2;2897.2;-18.2;0.0;0.0;10500.0;Off
11.3;2895.3;-18.4;0.0;0.0;10500.0;Off
11.4;2893.5;-18.5;0.0;0.0;10500.0;Off
11.5;2891.6;-18.7;0.0;0.0;10500.0;Off
11.6;2889.7;-18.9;0.0;0.0;10500.0;Off
11.7;2887.8;-19.0;0.0;0.0;10500.0;Off
